customerid,churn,customer_gender,customer_seniorcitizen,customer_partner,customer_dependents,customer_tenure,phone_phoneservice,phone_multiplelines,internet_internetservice,internet_onlinesecurity,internet_onlinebackup,internet_deviceprotection,internet_techsupport,internet_streamingtv,internet_streamingmovies,account_contract,account_paperlessbilling,account_paymentmethod,account_charges_monthly,account_charges_total,cuentas_diarias,account_charges_monthly_normalized,cuentas_diarias_normalized
2386-LAHRK,1.0,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,53.5,53.5,1.78,0.35074626865671643,0.3492537313432835
2386-OWURY,0.0,Female,0,No,No,58,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.3,5817.7,3.18,0.7666666666666666,0.7671641791044777
2387-KDZQY,0.0,Male,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.1,279.5,0.67,0.01840796019900499,0.017910447761194045
2388-LAESQ,0.0,Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95,3.83,0.9611940298507462,0.9611940298507463
2391-IPLOP,0.0,Male,0,Yes,Yes,50,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,69.65,3442.15,2.32,0.5114427860696518,0.5104477611940298
2391-SOORI,1.0,Male,0,No,Yes,4,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,49.35,219.65,1.64,0.309452736318408,0.30746268656716413
2393-DIVAI,0.0,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.0,61.7,0.67,0.017412935323383085,0.017910447761194045
2397-BRLOM,1.0,Male,1,Yes,Yes,8,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),80.45,583.45,2.68,0.618905472636816,0.6179104477611941
2398-YPMUR,1.0,Female,1,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,916.75,2.34,0.5164179104477612,0.5164179104477612
2400-FEQME,0.0,Male,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.5,1177.95,0.68,0.022388059701492536,0.02089552238805972
2400-XIWIO,0.0,Female,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,90.1,6310.9,3.0,0.7149253731343284,0.7134328358208956
2402-TAIRZ,0.0,Female,0,No,No,37,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,80.05,3019.1,2.67,0.6149253731343284,0.6149253731343284
2403-BCASL,1.0,Male,1,Yes,Yes,41,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,111.95,4534.9,3.73,0.9323383084577115,0.9313432835820895
2404-JIBFC,0.0,Female,0,Yes,Yes,55,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.1,4657.95,2.84,0.6651741293532337,0.6656716417910448
2405-LBMUW,0.0,Female,0,Yes,Yes,61,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),50.7,3088.75,1.69,0.3228855721393035,0.32238805970149254
2408-PSJVE,0.0,Male,0,Yes,Yes,44,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,61.9,2924.05,2.06,0.4343283582089552,0.4328358208955224
2408-TZMJL,1.0,Male,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,110.15,6448.05,3.67,0.9144278606965175,0.9134328358208955
2408-WITXK,1.0,Female,1,No,No,10,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,34.7,329.8,1.16,0.163681592039801,0.16417910447761191
2410-CIYFZ,0.0,Male,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.4,42.9,0.68,0.021393034825870634,0.02089552238805972
2418-TPEUN,0.0,Female,0,Yes,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.8,1119.9,0.66,0.01542288557213931,0.014925373134328372
2419-FSORS,0.0,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,108.4,7719.5,3.61,0.8970149253731344,0.8955223880597015
2424-GXJQO,,Female,0,No,No,3,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,57.55,161.45,1.92,0.39104477611940297,0.39104477611940297
2424-WVHPL,0.0,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,2.49,0.5616915422885572,0.5611940298507464
2428-HYUNX,0.0,Male,1,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.35,847.25,0.64,0.01094527363184081,0.008955223880597022
2428-ZMCTB,0.0,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.75,208.25,0.66,0.014925373134328358,0.014925373134328372
2429-AYKKO,0.0,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.85,1434.1,0.66,0.01592039800995026,0.014925373134328372
2430-RRYUW,0.0,Male,0,No,No,66,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,54.8,3465.7,1.83,0.363681592039801,0.364179104477612
2430-USGXP,1.0,Male,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,2391.8,3.37,0.8238805970149253,0.8238805970149254
2432-TFSMK,0.0,Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),89.6,1633,2.99,0.7099502487562188,0.71044776119403
2433-KMEAS,1.0,Male,0,No,No,22,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,54.45,1127.35,1.82,0.3601990049751244,0.3611940298507462
2434-EEVDB,0.0,Female,0,Yes,No,64,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),94.6,5948.7,3.15,0.7597014925373133,0.7582089552238805
2436-QBZFP,0.0,Female,0,Yes,Yes,22,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,39.2,849.9,1.31,0.2084577114427861,0.20895522388059704
2439-LYPMQ,0.0,Male,1,Yes,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.6,4009.2,3.42,0.8393034825870647,0.8388059701492537
2439-QKJUL,0.0,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.25,109.8,0.68,0.01990049751243781,0.02089552238805972
2446-BEGGB,1.0,Female,1,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.25,560.6,3.28,0.7960199004975125,0.7970149253731342
2446-PLQVO,1.0,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,70.3,2.34,0.517910447761194,0.5164179104477612
2446-ZKVAF,0.0,Male,0,Yes,No,18,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),56.8,1074.65,1.89,0.38358208955223877,0.3820895522388059
2450-ZKEED,0.0,Female,0,No,No,11,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),53.8,651.55,1.79,0.3537313432835821,0.3522388059701493
2451-YMUXS,0.0,Male,1,No,No,67,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),64.55,4250.1,2.15,0.46069651741293527,0.4597014925373134
2452-KDRRH,0.0,Male,1,No,No,67,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),101.4,6841.05,3.38,0.8273631840796021,0.826865671641791
2452-MRMZF,0.0,Female,1,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,1937.4,0.86,0.07412935323383084,0.07462686567164178
2452-SNHFZ,0.0,Female,0,No,No,47,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),75.45,3545.1,2.52,0.5691542288557214,0.5701492537313433
2453-SAFNS,0.0,Female,1,No,No,54,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,72.1,3886.05,2.4,0.535820895522388,0.5343283582089552
2454-RPBRZ,1.0,Female,1,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,98.1,1060.2,3.27,0.7945273631840796,0.7940298507462686
2455-USLMV,0.0,Female,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.75,2613.4,2.82,0.6616915422885572,0.6597014925373134
2458-EOMRE,0.0,Female,0,No,No,11,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),64.05,733.95,2.13,0.45572139303482584,0.45373134328358206
2460-FPSYH,1.0,Female,1,No,No,40,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.8,2109.35,1.86,0.37363184079601985,0.3731343283582089
2460-NGXBJ,0.0,Male,1,Yes,Yes,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.2,775.3,2.51,0.5666666666666667,0.5671641791044776
2462-XIIJB,1.0,Male,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,92.5,452.7,3.08,0.7388059701492538,0.737313432835821
2465-BLLEU,0.0,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.75,19.75,0.66,0.014925373134328358,0.014925373134328372
2466-FCCPT,0.0,Female,0,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.7,395.6,0.66,0.014427860696517405,0.014925373134328372
2466-NEJOJ,0.0,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.65,169.75,0.65,0.013930348258706454,0.011940298507462697
2468-SJFLM,0.0,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,74.3,74.3,2.48,0.5577114427860697,0.5582089552238806
2469-DTSGX,0.0,Female,1,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,111.65,7943.45,3.72,0.9293532338308458,0.9283582089552239
2472-OVKUP,1.0,Male,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531,3.03,0.7238805970149254,0.7223880597014924
2474-BRUCM,1.0,Male,1,Yes,No,40,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,101.85,4086.3,3.4,0.8318407960199005,0.8328358208955223
2474-LCNUE,0.0,Female,0,Yes,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.65,1642.75,2.46,0.5512437810945274,0.5522388059701493
2475-MROZF,0.0,Male,0,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),95.0,2852.4,3.17,0.763681592039801,0.764179104477612
2476-YGEFM,0.0,Female,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),76.0,2215.25,2.53,0.5746268656716418,0.5731343283582089
2478-EEWWM,0.0,Male,0,Yes,No,59,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.3,2666.75,1.48,0.25920398009950246,0.25970149253731345
2479-BRAMR,1.0,Male,1,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.75,3273.55,2.79,0.6517412935323383,0.6507462686567165
2480-EJWYP,0.0,Female,1,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),97.8,5458.8,3.26,0.7915422885572139,0.7910447761194029
2480-JZOSN,0.0,Female,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.65,20.65,0.69,0.02388059701492536,0.02388059701492536
2480-SQIOB,0.0,Male,0,Yes,Yes,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.8,169.65,1.49,0.2641791044776119,0.2626865671641791
2481-SBOYW,0.0,Female,0,No,Yes,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.0,1498.35,0.83,0.06716417910447761,0.06567164179104476
2482-CZGBB,1.0,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.0,740,2.33,0.5149253731343284,0.5134328358208956
2483-XSSMZ,0.0,Female,0,No,No,39,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,47.85,1886.4,1.6,0.2945273631840796,0.2955223880597015
2484-DGXPZ,1.0,Female,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.55,658.95,0.65,0.012935323383084583,0.011940298507462697
2485-ITVKB,1.0,Female,0,Yes,No,2,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.1,68.75,1.17,0.16766169154228858,0.1671641791044776
2486-WYVVE,0.0,Male,0,Yes,No,31,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,79.3,2484,2.64,0.6074626865671642,0.6059701492537314
2495-INZWQ,1.0,Male,0,No,No,4,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.55,174.3,1.48,0.2616915422885572,0.25970149253731345
2495-KZNFB,0.0,Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.65,2989.6,3.02,0.7203980099502488,0.7194029850746269
2495-TTHBQ,0.0,Female,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.4,84.75,0.68,0.021393034825870634,0.02089552238805972
2498-XLDZR,0.0,Female,0,Yes,Yes,32,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,73.6,2316.85,2.45,0.5507462686567164,0.5492537313432837
2499-AJYUA,0.0,Female,1,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.8,7882.25,3.69,0.9208955223880597,0.9194029850746268
2501-XWWTZ,0.0,Male,0,No,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.2,760.05,2.34,0.5169154228855721,0.5164179104477612
2504-DSHIH,0.0,Male,1,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,86.8,1975.85,2.89,0.682089552238806,0.6805970149253732
2506-CLAKW,1.0,Female,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),98.15,567.45,3.27,0.7950248756218906,0.7940298507462686
2506-TNFCO,1.0,Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,2.32,0.5104477611940298,0.5104477611940298
2507-QZPQS,0.0,Male,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,95.7,1451.1,3.19,0.7706467661691543,0.7701492537313432
2508-QJJFP,,Male,0,No,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.55,1013.05,0.68,0.02288557213930349,0.02089552238805972
2509-TFPJU,0.0,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.75,1864.2,0.86,0.07462686567164178,0.07462686567164178
2511-ALLCS,0.0,Female,0,Yes,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.3,821.6,0.81,0.060199004975124384,0.05970149253731345
2511-MORQY,0.0,Male,0,Yes,Yes,50,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),54.9,2614.1,1.83,0.36467661691542286,0.364179104477612
2514-GINMM,1.0,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.5,79.5,2.65,0.6094527363184079,0.608955223880597
2516-VQRRV,1.0,Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.45,158.4,2.52,0.5691542288557214,0.5701492537313433
2516-XSJKX,0.0,Female,0,Yes,Yes,41,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,78.45,3126.45,2.62,0.5990049751243781,0.6000000000000001
2519-ERQOJ,0.0,Male,1,No,No,33,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,54.6,1803.7,1.82,0.3616915422885572,0.3611940298507462
2519-FAKOD,1.0,Male,0,No,Yes,38,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.25,3777.15,3.31,0.8059701492537313,0.8059701492537313
2519-LBNQL,0.0,Male,1,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.35,6339.45,3.48,0.8567164179104477,0.8567164179104477
2519-TWKFS,0.0,Male,0,Yes,Yes,25,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,55.1,1466.1,1.84,0.3666666666666667,0.3671641791044776
2520-SGTTA,0.0,Female,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.0, ,0.67,0.017412935323383085,0.017910447761194045
2521-NPUZR,0.0,Male,0,Yes,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),101.0,7085.5,3.37,0.8233830845771144,0.8238805970149254
2522-AHJXR,0.0,Male,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.45,6572.85,3.65,0.9074626865671642,0.9074626865671641
2522-WLNSF,0.0,Female,1,Yes,No,34,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),64.2,2106.3,2.14,0.45721393034825875,0.4567164179104478
2523-EWWZL,0.0,Female,0,Yes,No,27,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,2093.4,2.54,0.5756218905472636,0.5761194029850747
2525-GVKQU,0.0,Female,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.6,1093,0.69,0.02338308457711444,0.02388059701492536
2528-HFYZX,1.0,Male,1,Yes,No,17,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,76.45,1233.4,2.55,0.5791044776119403,0.5791044776119403
2530-ENDWQ,1.0,Female,0,Yes,No,71,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),93.7,6585.35,3.12,0.7507462686567165,0.7492537313432837
2530-FMFXO,0.0,Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,103.2,5873.75,3.44,0.8452736318407961,0.844776119402985
2533-QVMSK,1.0,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,94.1,5638.3,3.14,0.7547263681592039,0.755223880597015
2533-TIBIX,0.0,Male,0,Yes,Yes,15,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.2,469.65,1.01,0.11890547263681592,0.11940298507462686
2535-PBCGC,0.0,Female,0,Yes,No,70,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),64.55,4504.9,2.15,0.46069651741293527,0.4597014925373134
2538-OIMXF,0.0,Female,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.7,24.7,0.82,0.06417910447761194,0.06268656716417909
2541-YGPKE,0.0,Male,0,Yes,Yes,42,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),63.7,2763.35,2.12,0.45223880597014926,0.45074626865671646
2542-HYGIQ,0.0,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.95,19.95,0.66,0.016915422885572132,0.014925373134328372
2545-EBUPK,0.0,Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.05,186.05,2.8,0.6547263681592039,0.6537313432835821
2545-LXYVJ,0.0,Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.7,1492.1,0.69,0.024378109452736312,0.02388059701492536
2546-KZAAT,0.0,Male,0,Yes,No,52,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,75.4,3865.45,2.51,0.5686567164179105,0.5671641791044776
2550-AEVRU,0.0,Female,0,Yes,Yes,57,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Electronic check,53.45,3053,1.78,0.3502487562189055,0.3492537313432835
2550-QHZGP,0.0,Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.5,128.6,0.65,0.012437810945273632,0.011940298507462697
2550-ZQZPP,,Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.4,533.05,2.51,0.5686567164179105,0.5671641791044776
2558-BUOZZ,0.0,Male,0,No,No,47,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),94.8,4535.85,3.16,0.7616915422885572,0.7611940298507464
2560-PPCHE,0.0,Female,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),105.05,6744.25,3.5,0.863681592039801,0.8626865671641791
2560-QTSBS,0.0,Female,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.3,1623.15,0.78,0.05024875621890548,0.05074626865671643
2560-WBWXF,0.0,Male,0,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.15,1498.85,0.8,0.058706467661691526,0.05671641791044778
2565-JSLRY,1.0,Male,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.05,24.05,0.8,0.057711442786069655,0.05671641791044778
2568-BRGYX,1.0,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.2,237.95,2.34,0.5169154228855721,0.5164179104477612
2568-OIADY,1.0,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.5,3762,3.32,0.8084577114427861,0.8089552238805969
2569-WGERO,0.0,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.15,1419.4,0.7,0.02885572139303481,0.026865671641791034
2573-GYRUU,0.0,Male,1,Yes,No,48,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),91.05,4370.75,3.03,0.7243781094527363,0.7223880597014924
2575-EAMDV,,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532,3.31,0.8059701492537313,0.8059701492537313
2575-GFSOE,1.0,Female,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.0,506.9,2.3,0.5049751243781094,0.5044776119402985
2576-HXMPA,0.0,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.55,19.55,0.65,0.012935323383084583,0.011940298507462697
2577-GVSIL,0.0,Male,0,Yes,Yes,35,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),73.45,2661.1,2.45,0.5492537313432836,0.5492537313432837
2578-JQPHZ,0.0,Male,0,No,No,44,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),100.1,4378.35,3.34,0.8144278606965174,0.8149253731343283
2580-ASVVY,0.0,Female,0,Yes,No,37,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,45.4,1593.1,1.51,0.27014925373134324,0.26865671641791045
2580-ATZSQ,0.0,Female,0,Yes,Yes,65,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),61.35,3874.1,2.04,0.42885572139303485,0.42686567164179107
2581-VKIRT,0.0,Female,0,Yes,Yes,59,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,65.5,3801.3,2.18,0.4701492537313433,0.4686567164179105
2582-FFFZR,0.0,Female,0,No,No,22,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.6,1073.3,1.69,0.3218905472636816,0.32238805970149254
2585-KTFRE,0.0,Male,0,No,Yes,1,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.45,70.45,2.35,0.5194029850746269,0.5194029850746269
2586-CWXVV,0.0,Male,0,Yes,No,54,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.4,1621.35,1.01,0.12089552238805969,0.11940298507462686
